PRACTICE_CODE,PRACTICE_POSTCODE,total_rows,total_cot,total_uda,avg_uda_per_cot,child_count,nonpaying_count,paying_count,band1,band2a,band2b,band2c,band3,urgent_count,free_count,reg11_count
V000669,BN6 8AR,100,3341,6314.8,1.89,30,30,40,24,24,20,1,10,21,0,0
V000670,RH16 3AX,50,2898,3616.6,1.25,17,16,17,12,12,8,0,5,12,1,0
V000671,SE15 5RS,63,5960,17542.6,2.94,20,20,23,12,12,12,0,12,12,0,3
V000674,SE15 4RX,76,7622,29692.8,3.9,22,23,31,12,12,12,8,12,12,4,4
V000675,SE5 8QZ,67,3543,7864.8,2.22,21,23,23,12,12,12,4,12,12,1,2
V000676,SE15 1LA,77,4887,12994.4,2.66,24,23,30,12,12,12,11,11,12,5,2
V000677,SE5 0DL,65,2145,7042.4,3.28,16,22,27,12,12,11,10,11,4,5,0
V000679,SE22 8SW,71,4111,11226.0,2.73,22,22,27,12,12,12,7,12,12,3,1
V000682,TS11 7BA,33,1702,3253,1.91,1,13,19,9,8,1,0,8,0,4,3
V000685,SE15 3LF,65,2064,8811.2,4.27,20,20,25,12,12,12,2,12,12,3,0
V000688,SE22 9ET,68,8013,12790.4,1.6,21,23,24,12,12,12,7,12,12,1,0
V000689,SE22 8HF,76,8888,21776.2,2.45,21,24,31,12,12,12,9,12,12,4,3
V000690,SE5 8DX,52,1123,2028.6,1.81,18,20,14,12,12,9,0,7,12,0,0
V000691,TS3 7PB,80,16142,35004.2,2.17,24,24,32,12,12,12,12,12,12,4,4
V000693,SE19 1PW,27,838,1117.2,1.33,16,8,3,11,6,6,0,0,4,0,0
V000696,NR17 2BN,61,2272,3946.2,1.74,19,19,23,12,12,12,1,11,11,2,0
V000699,NR19 1DR,73,3242,8821.6,2.72,29,22,22,15,14,12,8,13,11,0,0
V000701,NR19 2BY,30,88,228.4,2.6,13,8,9,3,7,6,0,3,11,0,0
V000704,IP22 4QQ,54,792,1173.0,1.48,14,17,23,12,12,9,1,5,12,2,0
V000707,IP20 9ER,66,4681,9209.2,1.97,21,20,25,12,12,12,3,12,12,3,0
V000709,NR9 3AB,32,1071,1497.8,1.4,19,11,2,10,7,4,2,4,5,0,0
V000710,NR5 0RS,65,10320,18302.6,1.77,19,20,26,12,12,12,6,9,12,1,1
V000715,NR5 0AB,73,13676,21098.2,1.54,21,22,30,12,12,12,7,12,12,4,2
V000720,NR18 0RF,74,16107,25820.2,1.6,22,24,28,12,12,12,10,12,12,4,0
V000722,TS15 9AU,48,2240,4862.4,2.17,11,15,22,9,9,9,2,6,8,2,2
V000723,TS14 6QD,62,4266,8512.2,2.0,17,20,25,12,12,11,1,10,12,4,0
